fid,nome,geometriaaproximada,geocodigo,anodereferencia
223,Itambé,Não,"4111100",
224,Marumbi,Não,"4115507",
225,Itaporanga,Não,"3522802",
226,Bom Sucesso,Não,"4103206",
227,Jussara,Não,"4113007",
228,Riachuelo,Não,"2410900",
229,Alto Paraíso,Não,"4128625",
230,Itaquiraí,Não,"5004601",
231,Salesópolis,Não,"3545001",
232,Jupi,Não,"2608305",
233,São Roque,Não,"3550605",
234,Mandaguari,Não,"4114203",
235,Minas do Leão,Não,"4312252",
236,Cacequi,Não,"4302907",
237,General Câmara,Não,"4308805",
238,São Miguel do Fidalgo,Não,"2210391",
239,Praia Grande,Não,"3541000",
240,Praia Grande,Não,"4213807",
241,Flores da Cunha,Não,"4308201",
242,Relvado,Não,"4315453",
243,Nova Roma do Sul,Não,"4313359",
244,Presidente Epitácio,Não,"3541307",
245,Promissão,Não,"3541604",
246,Fontoura Xavier,Não,"4308300",
247,Maiquinique,Não,"2920007",
248,Arroio do Tigre,Não,"4301206",
249,Jacuizinho,Não,"4310876",
250,Progresso,Não,"4315156",
251,Novo Repartimento,Não,"1505064",
252,Tucuruí,Não,"1508100",
253,Santa Inês,Não,"2109908",
254,Olho d'Água das Cunhãs,Não,"2107407",
255,Altamira do Maranhão,Não,"2100402",
256,Soledade,Não,"4320800",
257,Lagoão,Não,"4311254",
258,Coqueiro Baixo,Não,"4305835",
259,Caxias do Sul,Não,"4305108",
260,Canudos do Vale,Não,"4304614",
261,Ouro Verde de Minas,Não,"3146206",
262,Manhuaçu,Não,"3139409",
263,Marliéria,Não,"3140308",
264,Rio Piracicaba,Não,"3155702",
265,Juti,Não,"5005152",
266,Paranapanema,Não,"3535804",
267,Valinhos,Não,"3556206",
268,Votorantim,Não,"3557006",
269,Mairinque,Não,"3528403",
270,Araçoiaba da Serra,Não,"3502903",
271,Ribeirão do Pinhal,Não,"4121901",
272,Jundiaí do Sul,Não,"4112900",
273,Quatiguá,Não,"4120705",
274,Arês,Não,"2401206",
275,Congonhas do Norte,Não,"3118106",
276,Piraí,Não,"3304003",
277,Fazenda Nova,Não,"5207600",
278,Itapuca,Não,"4310579",
279,Vera,Não,"5108501",
280,Várzea Grande,Não,"5108402",
281,Videira,Não,"4219309",
282,Xavantina,Não,"4219606",
283,Mairipotaba,Não,"5212600",
284,Piracanjuba,Não,"5217104",
285,Curvelândia,Não,"5103437",
286,Ponte Branca,Não,"5106703",
287,Araçaí,Não,"3103207",
288,Rio Verde de Mato Grosso,Não,"5007406",
289,Serra do Ramalho,Não,"2930154",
290,Paranaiguara,Não,"5216304",
291,Malhada,Não,"2920205",
292,Arroio Grande,Não,"4301305",
293,Cerrito,Não,"4305124",
294,Piratini,Não,"4314605",
295,Herval,Não,"4307104",
296,Pedro Osório,Não,"4314209",
297,Turuçu,Não,"4322327",
298,São Lourenço do Sul,Não,"4318804",
299,Campina das Missões,Não,"4303707",
300,Coronel Martins,Não,"4204459",
301,Novo Horizonte,Não,"4211652",
302,Juscimeira,Não,"5105200",
303,Santa Rosa do Piauí,Não,"2209377",
304,Guiratinga,Não,"5104203",
305,Bela Vista,Não,"5002100",
306,Reserva do Cabaçal,Não,"5107156",
307,Datas,Não,"3121001",
308,Jauru,Não,"5105002",
309,Vale de São Domingos,Não,"5108352",
310,Camamu,Não,"2905800",
311,Joaíma,Não,"3136009",
312,Rio do Prado,Não,"3155108",
313,Manoel Vitorino,Não,"2920403",
314,Presidente Figueiredo,Não,"1303536",
315,Mirante,Não,"2921450",
316,Condeúba,Não,"2908705",
317,Contendas do Sincorá,Não,"2908804",
318,Jacaraci,Não,"2917409",
319,Cordeiros,Não,"2909000",
320,Mortugaba,Não,"2921807",
321,São Félix do Coribe,Não,"2929057",
322,Coroaci,Não,"3119203",
323,Coribe,Não,"2909109",
324,Carinhanha,Não,"2907103",
325,Água Preta,Não,"2600401",
326,Peçanha,Não,"3148608",
327,Serro,Não,"3167103",
328,Santo Antônio do Itambé,Não,"3160207",
329,Inaciolândia,Não,"5209937",
330,Jampruca,Não,"3135076",
331,Mathias Lobato,Não,"3171501",
332,Frei Inocêncio,Não,"3126901",
333,Marilac,Não,"3140100",
334,Cachoeira Alta,Não,"5204102",
335,Serranópolis,Não,"5220504",
336,Coxim,Não,"5003306",
337,Chapadão do Céu,Não,"5205471",
338,Inimutaba,Não,"3131109",
339,Morro da Garça,Não,"3143609",
340,Nacip Raydan,Não,"3144201",
341,Presidente Kubitschek,Não,"3153301",
342,Maurilândia,Não,"5213004",
343,Porteirão,Não,"5218052",
344,Santa Helena de Goiás,Não,"5219308",
345,Vicentinópolis,Não,"5222054",
346,Turvelândia,Não,"5221551",
347,Alto Taquari,Não,"5100607",
348,Sonora,Não,"5007935",
349,Rio Quente,Não,"5218789",
350,Ibirapuã,Não,"2912806",
351,Buenópolis,Não,"3109204",
352,Nova Viçosa,Não,"2923001",
353,Joviânia,Não,"5212105",
354,Itamarandiba,Não,"3132503",
355,Poté,Não,"3152402",
356,Serra dos Aimorés,Não,"3166709",
357,Aloândia,Não,"5200506",
358,Olhos-d'Água,Não,"3145455",
359,Jardim do Seridó,Não,"2405702",
360,Assis Chateaubriand,Não,"4102000",
361,Nova Aurora,Não,"4116703",
362,Pitangueiras,Não,"3539509",
363,Cana Verde,Não,"3111903",
364,Jardinópolis,Não,"3525102",
365,Cascavel,Não,"4104808",
366,São Tiago,Não,"3165008",
367,Cafelândia,Não,"4103453",
368,Jesuítas,Não,"4112751",
369,Toledo,Não,"4127700",
370,Tupãssi,Não,"4127957",
371,Pontal,Não,"3540200",
372,Itapura,Não,"3523008",
373,Camacho,Não,"3110400",
374,Lagoa Dourada,Não,"3137403",
375,Embaúba,Não,"3514957",
376,Monte Azul Paulista,Não,"3531506",
377,Santo Antônio do Amparo,Não,"3159902",
378,Resende Costa,Não,"3154200",
379,Cedral,Não,"3511300",
380,Batatais,Não,"3505906",
381,Alpinópolis,Não,"3101904",
382,Tanque Novo,Não,"2931053",
383,Cristais,Não,"3120201",
384,São José do Rio Preto,Não,"3549805",
385,Monções,Não,"3531001",
386,Olímpia,Não,"3533908",
387,Nova Castilho,Não,"3532868",
388,Pratápolis,Não,"3152907",
389,Taquarituba,Não,"3553807",
390,Pereira Barreto,Não,"3537404",
391,Sales Oliveira,Não,"3544905",
392,Guapé,Não,"3128105",
393,Oliveira,Não,"3145604",
394,São Miguel do Anta,Não,"3163805",
395,Guapiaçu,Não,"3517505",
396,Nhandeara,Não,"3532603",
397,Colina,Não,"3512001",
398,Terra Roxa,Não,"3554409",
399,Candeias,Não,"3112000",
400,Itaú de Minas,Não,"3133758",
401,São José da Barra,Não,"3162948",
402,Capetinga,Não,"3112406",
403,Orlândia,Não,"3534302",
404,Nuporanga,Não,"3533601",
405,Floreal,Não,"3515905",
406,Sud Mennucci,Não,"3552304",
407,Porto Firme,Não,"3152303",
408,Canaã,Não,"3111705",
409,Itaverava,Não,"3133907",
410,Passa Tempo,Não,"3147709",
411,Alagoa,Não,"3101300",
412,Carneirinho,Não,"3114550",
413,Cássia,Não,"3115102",
414,Caxambu,Não,"3115508",
415,Gramado Xavier,Não,"4309159",
416,Malhada de Pedras,Não,"2920304",
417,Floresta Azul,Não,"2911006",
418,Boqueirão do Leão,Não,"4302451",
419,Macarani,Não,"2919702",
420,Segredo,Não,"4320263",
421,Tunas,Não,"4322152",
422,Santana do Paraíso,Não,"3158953",
423,Nova Alvorada,Não,"4312757",
424,Nova Prata,Não,"4313300",
425,André da Rocha,Não,"4300661",
426,Meleiro,Não,"4210803",
427,Monte Alegre dos Campos,Não,"4312377",
428,Protásio Alves,Não,"4315172",
429,Mombuca,Não,"3530904",
430,Monte Mor,Não,"3531803",
431,Óleo,Não,"3533809",
432,Lorena,Não,"3527207",
433,Quinze de Novembro,Não,"4315354",
434,Tietê,Não,"3554508",
435,Espumoso,Não,"4307500",
436,Selbach,Não,"4320305",
437,Serafina Corrêa,Não,"4320404",
438,Ipê,Não,"4310439",
439,Victor Graeff,Não,"4323200",
440,Ibirapuitã,Não,"4309951",
441,Itaqui,Não,"4310603",
442,Camargo,Não,"4303558",
443,Casca,Não,"4304903",
444,Turvo,Não,"4218806",
445,Pedra do Anta,Não,"3148806",
446,Onda Verde,Não,"3534005",
447,Carmo da Mata,Não,"3114006",
448,São Joaquim da Barra,Não,"3549409",
449,Jeceaba,Não,"3135407",
450,Ouro Branco,Não,"3145901",
451,Joaquim Távora,Não,"4112801",
452,São Miguel do Araguaia,Não,"5220207",
453,Ubaíra,Não,"2932101",
454,Itaeté,Não,"2915007",
455,Wenceslau Guimarães,Não,"2933505",
456,Mucugê,Não,"2921906",
457,Iperó,Não,"3521002",
458,Jaguari,Não,"4311106",
459,Anta Gorda,Não,"4300703",
460,Capão do Cipó,Não,"4304655",
461,São Borja,Não,"4318002",
462,Dois Lajeados,Não,"4306452",
463,São José dos Ausentes,Não,"4318622",
464,Bom Jardim da Serra,Não,"4202503",
465,São Vendelino,Não,"4319752",
466,Cerro Branco,Não,"4305132",
467,Arvorezinha,Não,"4301404",
468,Jaquirana,Não,"4311122",
469,São Marcos,Não,"4319000",
470,Boa Vista do Incra,Não,"4302238",
471,Antônio Prado,Não,"4300802",
472,Japurá,Não,"1302108",
473,São Gabriel da Cachoeira,Não,"1303809",
474,Urucará,Não,"1304302",
475,Jóia,Não,"4311155",
476,Bom Jesus,Não,"4302303",
477,Boa Vista do Cadeado,Não,"4302220",
478,Cruzeiro do Sul,Não,"4306205",
479,Sinimbu,Não,"4320677",
480,Afuá,Não,"1500305",
481,Nova Esperança do Sul,Não,"4313037",
482,Vale do Sol,Não,"4322533",
483,Santa Luzia do Norte,Não,"2707909",
484,Passa Sete,Não,"4314068",
485,Forquetinha,Não,"4308433",
486,Nova Petrópolis,Não,"4313201",
487,Herveiras,Não,"4309571",
488,Sério,Não,"4320453",
489,Ciríaco,Não,"4305504",
490,Grão-Pará,Não,"4206108",
491,Passo Fundo,Não,"4314100",
492,Água Santa,Não,"4300059",
493,Muitos Capões,Não,"4312617",
494,Caibaté,Não,"4303301",
495,Caseiros,Não,"4304952",
496,Ibiraiaras,Não,"4309902",
497,Capão Alto,Não,"4203253",
498,Rolador,Não,"4315958",
499,Roque Gonzales,Não,"4316303",
500,Condor,Não,"4305702",
501,São Francisco de Paula,Não,"3161205",
502,Barra de Guabiraba,Não,"2601300",
503,Colméia,Não,"1716703",
504,Itaporã do Tocantins,Não,"1711100",
505,Dois Irmãos,Não,"4306403",
506,Nicolau Vergueiro,Não,"4312674",
507,Amaturá,Não,"1300060",
508,Passa e Fica,Não,"2409100",
509,Mata,Não,"4312104",
510,Envira,Não,"1301506",
511,Beruri,Não,"1300631",
512,Boa Vista do Ramos,Não,"1300680",
513,Araricá,Não,"4300877",
514,Pompéia,Não,"3540002",
515,Capanema,Não,"1502202",
516,Nova Timboteua,Não,"1505007",
517,Tupi Paulista,Não,"3555109",
518,Capitólio,Não,"3112802",
519,Lizarda,Não,"1712405",
520,Pinheiro Machado,Não,"4314506",
521,Aceguá,Não,"4300034",
522,Nova Mamoré,Não,"1100338",
523,São José do Norte,Não,"4318507",
524,Arambaré,Não,"4300851",
525,Pinhal Grande,Não,"4314472",
526,Talismã,Não,"1720978",
527,Encruzilhada do Sul,Não,"4306908",
528,Formigueiro,Não,"4308409",
529,Santa Maria,Não,"4316907",
530,Barra do Quaraí,Não,"4301875",
531,Triunfo,Não,"4322004",
532,Heliópolis,Não,"2911857",
533,Canavieira,Não,"2202251",
534,Lagoa da Canoa,Não,"2704104",
535,Teixeirópolis,Não,"1101559",
536,Timbiras,Não,"2112100",
537,Pontão,Não,"4314779",
538,Bonfim do Piauí,Não,"2201929",
539,São Paulo das Missões,Não,"4319307",
540,Nova Candelária,Não,"4313011",
541,Crissiumal,Não,"4306007",
542,Baía da Traição,Não,"2501401",
543,Pirapó,Não,"4314555",
